disasterNumber,region,stateNumberCode,state,countyCode,county,city,zip,projectIdentifier,propertyAction,structureType,typeOfResidency,actualAmountPaid,programFy,dateInitiallyApproved,dateApproved,dateClosed,status,programArea,title,type,numberOfProperties,numberOfRecords,damageCategory,granteeTribalIndicator,subgranteeTribalIndicator,id
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,37815,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467acda
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,23000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467ab33
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,18670,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467ab32
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,22400,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467ab92
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,22500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c541
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Secondary Residence,16176,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c5ac
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,35000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c5d8
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,41110,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c5d7
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,29000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c7a6
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,57000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c787
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,32500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c7c6
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,16630,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c7b6
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,20150,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c63b
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,28000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,2,,50 - 99%,No,No,61339fddc61c8f088467c723
1239,6,48,Texas,465,Val Verde,DER RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,32163,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c802
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,27500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c659
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,32500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c852
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,17945,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c8ef
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,34000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,2,,50 - 99%,No,No,61339fddc61c8f088467c90e
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,15292,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467c997
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,122768,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467ca77
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,16000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467cad3
1239,6,48,Texas,465,Val Verde,DEL RIO,77840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,31744,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467caa9
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,23000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467cabe
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,30000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fddc61c8f088467caea
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,19530,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e405
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,42910,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e718
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,20500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,2,,50 - 99%,No,No,61339fdec61c8f088467e6f1
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,20000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,2,,50 - 99%,No,No,61339fdec61c8f088467e758
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,50109,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e778
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,24261,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e757
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,36500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e786
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,17500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e481
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,36167,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e488
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,27000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e7b9
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,35244,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e838
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,34464,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e8f4
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,8505,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e8f5
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,3801,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e922
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,15000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e9bd
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,17540,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467ea28
1239,6,48,Texas,465,Val Verde,DEL RIO,77840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,21087,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e96c
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,20540,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e5cd
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,16345,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e583
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,12820,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e68f
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,20525,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdec61c8f088467e61f
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,31280,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fe0c61c8f08846802ab
